id,name,est_diameter,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude
2162635,162635 (2000 SS164),1.938842883,13569.24922,54839744.08,Earth,FALSE,16.73
2277475,277475 (2005 WK4),0.430073434,73588.72666,61438126.52,Earth,FALSE,20
2512244,512244 (2015 YE18),1.168268365,114258.6921,49798724.94,Earth,FALSE,17.83
3596030,(2012 BV13),0.156150226,24764.30314,25434972.72,Earth,FALSE,22.2
3667127,(2014 GE35),0.412612724,42737.73376,46275567,Earth,FALSE,20.09
54138696,(2021 GY23),0.058822383,34297.58778,40585691.23,Earth,FALSE,24.32
54189957,(2021 PY40),0.277678732,27529.47231,29069121.42,Earth,FALSE,20.95
54230078,(2021 XD6),0.008620702,57544.47008,55115019.26,Earth,FALSE,28.49
2088213,88213 (2001 AF2),0.566947203,56625.21012,69035980.04,Earth,FALSE,19.4
3766065,(2016 YM),0.171215318,48425.84033,38355261.56,Earth,FALSE,22
